sido_code,sigungu_code,emd_code,week_type,ALL_cost_CG,PSCR_cost_CG,BUS_cost_CG,FGCR_cost_CG
11000,11010,1101053,weekday,86948913388,53476233586,26161619086,7311060716
11000,11010,1101054,weekday,11209773299,7960413247,2320927772,928432280
11000,11010,1101055,weekday,34023085772,26490602066,3888029534,3644454172
11000,11010,1101056,weekday,28168580766,21455430884,3342938033,3370211849
11000,11010,1101057,weekday,8739373333,5374763829,2731997877,632611626
11000,11010,1101058,weekday,28468720202,15652613837,10689632656,2126473709
11000,11010,1101060,weekday,6335642674,4604013518,1186733360,544895796
11000,11010,1101061,weekday,1.38E+11,83794917800,42115933893,12271419850
11000,11010,1101063,weekday,53064796202,30976391974,17657879027,4430525200
11000,11010,1101064,weekday,17357000918,10634131023,5103217586,1619652310
11000,11010,1101067,weekday,27764759325,16318013103,9390264186,2056482036
11000,11010,1101069,weekday,606116171,355010895,154825915,96279360
11000,11010,1101070,weekday,11354784454,7404517455,2858445790,1091821209
11000,11010,1101071,weekday,17329335342,9569456075,6072135298,1687743969
11000,11010,1101072,weekday,17805645185,12481866929,3257576623,2066201634
11000,11010,1101073,weekday,20828639891,11912341925,7015966331,1900331635
11000,11020,1102052,weekday,92692947730,47854963420,39200329515,5637654794
11000,11020,1102054,weekday,62294209828,28673760780,29819706523,3800742524
11000,11020,1102055,weekday,71932005484,44308468612,21684515339,5939021533
11000,11020,1102057,weekday,18090388035,12034275172,4050930284,2005182579
11000,11020,1102058,weekday,22335354513,17089815666,3019100672,2226438175
11000,11020,1102059,weekday,48286435911,34299979021,9201468942,4784987948
11000,11020,1102060,weekday,25917692918,19359755869,3838893740,2719043309
11000,11020,1102065,weekday,13626992429,9040561777,3199684320,1386746332
11000,11020,1102067,weekday,13144440058,8982661029,2706845151,1454933878
11000,11020,1102068,weekday,23364339876,15301195478,6113812909,1949331489
11000,11020,1102069,weekday,33159256837,24312198575,5974885555,2872172708
11000,11020,1102070,weekday,4979104598,3730261030,779892217,468951351
11000,11020,1102071,weekday,14633782590,10861045495,2035781863,1736955232
11000,11020,1102072,weekday,6842495234,4593271311,1357861939,891361985
11000,11020,1102073,weekday,5929346452,4167922890,1128849699,632573863
11000,11030,1103051,weekday,6345583106,4233627151,1449507458,662448497
11000,11030,1103052,weekday,15236513719,11174256844,2508224767,1554032107
11000,11030,1103053,weekday,42087637709,24509421598,14288752054,3289464056
11000,11030,1103057,weekday,24050095457,18825296424,2425711539,2799087494
11000,11030,1103058,weekday,8005518779,5444843109,1708021193,852654477
11000,11030,1103059,weekday,9340481064,6222830678,2225108746,892541640
11000,11030,1103063,weekday,81480580463,62833147051,9746768570,8900664842
11000,11030,1103064,weekday,46578495721,37432354841,4345363688,4800777192
11000,11030,1103065,weekday,10106363809,7115952226,1708234261,1282177321
11000,11030,1103066,weekday,8578719844,6399838192,1322551187,856330465
11000,11030,1103069,weekday,52981599374,42718268352,4917887264,5345443758
11000,11030,1103070,weekday,10926836118,8263935749,1478601772,1184298598
11000,11030,1103071,weekday,12909237627,9264614137,2236767884,1407855605
11000,11030,1103072,weekday,29744196668,20691246970,5675024042,3377925656
11000,11030,1103073,weekday,73634652549,50128657372,16147351976,7358643201
11000,11030,1103074,weekday,93522909377,70162963822,13833280073,9526665482
11000,11040,1104052,weekday,5697019181,3853592484,1133362214,710064483
11000,11040,1104054,weekday,31227476513,22787372149,4598854366,3841249997
11000,11040,1104055,weekday,18347805881,13359580458,2669805520,2318419904
11000,11040,1104056,weekday,34624575184,22291732759,8766803223,3566039203
11000,11040,1104057,weekday,4272151144,2753759139,1053398788,464993218
11000,11040,1104058,weekday,10443791961,7034899567,2245548056,1163344337
11000,11040,1104059,weekday,16174329665,11508642135,3377834393,1287853138
11000,11040,1104062,weekday,36382854162,28143346724,4535060435,3704447004
11000,11040,1104065,weekday,66364034713,51611280892,7447999013,7304754808
11000,11040,1104066,weekday,50630110049,39876709603,4886156972,5867243474
11000,11040,1104067,weekday,55498662646,41919638665,6980090506,6598933475
11000,11040,1104068,weekday,27990304216,20838652658,2566081513,4585570045
11000,11040,1104069,weekday,39447177912,30824572328,3867892406,4754713178
11000,11040,1104070,weekday,24993256567,18598337635,3550927546,2843991387
11000,11040,1104071,weekday,29207850757,20673055310,5137749344,3397046104
11000,11040,1104072,weekday,10161787209,7420626514,1698325701,1042834994
11000,11040,1104073,weekday,35485374017,26843374577,5189784819,3452214620
11000,11050,1105053,weekday,58685533574,41861937602,10963815813,5859780159
11000,11050,1105054,weekday,42189857961,29802053438,7362546420,5025258103
11000,11050,1105055,weekday,30698325751,21239041472,6138480539,3320803740
11000,11050,1105056,weekday,30019582779,20150254572,6911168525,2958159682
11000,11050,1105057,weekday,20340571853,14018770687,4098178586,2223622580
11000,11050,1105058,weekday,16893022815,10905238159,4246331299,1741453357
11000,11050,1105059,weekday,20478842160,15061357923,3397690262,2019793974
11000,11050,1105060,weekday,21771803287,14275596920,5240350846,2255855521
11000,11050,1105061,weekday,42755352209,28986139888,9161333167,4607879154
11000,11050,1105062,weekday,46153032408,26453562805,15120832360,4578637243
11000,11050,1105063,weekday,65160824159,42342742502,16358073977,6460007680
11000,11050,1105064,weekday,15640185197,9470821027,4503288673,1666075497
11000,11050,1105065,weekday,44879317047,31701544953,7698185951,5479586143
11000,11050,1105066,weekday,21966394321,15675422383,3835888736,2455083201
11000,11050,1105067,weekday,51501884371,37874545183,7419766275,6207572913
11000,11060,1106071,weekday,14402200297,9037165975,3856019448,1509014873
11000,11060,1106072,weekday,35080887955,18130924605,13369271025,3580692325
11000,11060,1106073,weekday,30197420312,19610058673,7303158648,3284202992
11000,11060,1106080,weekday,31324498658,17639730681,10970174788,2714593190
11000,11060,1106081,weekday,85644397433,55321881228,21469857238,8852658967
11000,11060,1106082,weekday,77702731906,46233125092,23688070117,7781536697
11000,11060,1106083,weekday,33920349253,18144577636,12708932202,3066839414
11000,11060,1106084,weekday,12093671423,8028493543,2761743595,1303434285
11000,11060,1106086,weekday,16929588305,10998150353,4080177641,1851260310
11000,11060,1106087,weekday,31402137303,22532948522,5497417286,3371771495
11000,11060,1106088,weekday,36544576650,25551058939,7197314326,3796203385
11000,11060,1106089,weekday,11021904837,7273616954,2507531989,1240755894
11000,11060,1106090,weekday,14102097073,10098805626,2376625581,1626665866
11000,11060,1106091,weekday,25277475436,17713669797,4589901564,2973904076
11000,11070,1107052,weekday,21013400279,14413466072,3913561769,2686372438
11000,11070,1107054,weekday,22476471494,15391899981,4580450959,2504120554
11000,11070,1107055,weekday,28743081657,21197854935,4353347516,3191879205
11000,11070,1107057,weekday,17493086682,11496889171,3854318817,2141878695
11000,11070,1107059,weekday,7617227769,4617450722,1847142236,1152634811
11000,11070,1107060,weekday,48589181234,30395175229,12634342536,5559663469
11000,11070,1107061,weekday,17739375543,11865279748,3643240821,2230854975
11000,11070,1107062,weekday,45715641605,29810167885,10539664906,5365808814
11000,11070,1107064,weekday,50288340260,35611329303,7298558986,7378451971
11000,11070,1107065,weekday,8962438432,6159081613,1608877200,1194479619
11000,11070,1107068,weekday,6684981779,4355231750,1593840730,735909299
11000,11070,1107069,weekday,77715413322,52197828305,15905367599,9612217418
11000,11070,1107070,weekday,10512173612,5780444865,3583768144,1147960603
11000,11070,1107071,weekday,15265829547,9366325135,4264881173,1634623239
11000,11070,1107072,weekday,15423017775,9554731310,4213705196,1654581269
11000,11070,1107073,weekday,65005130793,39780123246,17316876332,7908131215
11000,11080,1108058,weekday,19198667286,12366327967,4687582925,2144756394
11000,11080,1108059,weekday,4564036307,2767902610,1158005729,638127969
11000,11080,1108060,weekday,18433894536,12645663841,3635038013,2153192682
11000,11080,1108061,weekday,12122023756,7493741442,3239446036,1388836278
11000,11080,1108062,weekday,12491054466,7982931695,2791298142,1716824629
11000,11080,1108063,weekday,39214024197,29247619785,5356072468,4610331944
11000,11080,1108064,weekday,23746086630,17880328038,3159231751,2706526842
11000,11080,1108065,weekday,10670260215,6471371592,2315873008,1883015615
11000,11080,1108066,weekday,14496085985,8114816089,5000107565,1381162331
11000,11080,1108068,weekday,33198348021,20352748363,9419698463,3425901195
11000,11080,1108071,weekday,34814907852,23626808560,7490734721,3697364571
11000,11080,1108072,weekday,36856935874,28093775554,3951755535,4811404785
11000,11080,1108076,weekday,8542019562,4404740371,2963054603,1174224587
11000,11080,1108077,weekday,26985753126,19058133394,4616966292,3310653440
11000,11080,1108078,weekday,29415690180,18681741338,7153301547,3580647296
11000,11080,1108081,weekday,30588479906,16892795261,11022486243,2673198402
11000,11080,1108082,weekday,24923965564,13895259310,8490643575,2538062679
11000,11080,1108083,weekday,31643560178,18081836189,10050864479,3510859511
11000,11080,1108084,weekday,49669525490,33409682083,10312251295,5947592112
11000,11080,1108085,weekday,42184597572,28850380770,8182761188,5151455614
11000,11090,1109060,weekday,39035865791,23385470779,11729450660,3920944353
11000,11090,1109061,weekday,4434022069,2876602116,1012241231,545178722
11000,11090,1109062,weekday,12186859864,8255693421,2567801169,1363365273
11000,11090,1109063,weekday,7208247117,4921908905,1565631444,720706768
11000,11090,1109064,weekday,14362478539,8734009434,4233806854,1394662250
11000,11090,1109065,weekday,27410718228,12538779840,12773746606,2098191782
11000,11090,1109069,weekday,8719675722,5691516978,2172489876,855668869
11000,11090,1109070,weekday,15927562138,8794324966,5492316202,1640920971
11000,11090,1109071,weekday,46982784889,24878838684,17709507892,4394438313
11000,11090,1109072,weekday,17481076724,11317436625,4041043377,2122596722
11000,11090,1109073,weekday,12646671402,8321213676,2680570114,1644887612
11000,11090,1109074,weekday,11059752047,5942560145,4143631160,973560742
11000,11090,1109075,weekday,20431715079,13594491218,4841709397,1995514464
11000,11100,1110051,weekday,5627518504,2861377729,2118979920,647160855
11000,11100,1110052,weekday,10419679694,6447750553,2895393648,1076535494
11000,11100,1110053,weekday,7032852712,4490378246,1797552989,744921477
11000,11100,1110054,weekday,5336814651,3214757121,1515268747,606788783
11000,11100,1110055,weekday,45887942212,30012154996,10159001770,5716785445
11000,11100,1110056,weekday,3852443835,2187026362,1076483799,588933674
11000,11100,1110057,weekday,12814222131,7685339276,3714705924,1414176931
11000,11100,1110059,weekday,14474939918,9359146418,3514247513,1601545987
11000,11100,1110060,weekday,16144588150,9042355951,5380158650,1722073549
11000,11100,1110061,weekday,8153356700,5191723155,1478861541,1482772005
11000,11100,1110062,weekday,27992535112,18166574439,6383222468,3442738204
11000,11100,1110063,weekday,35846460879,21602560682,10523307323,3720592873
11000,11100,1110064,weekday,18941701672,10399508652,6380406752,2161786267
11000,11100,1110065,weekday,24697682430,16450183956,5011100774,3236397700
11000,11110,1111051,weekday,12423868934,7099600607,3280057112,2044211215
11000,11110,1111052,weekday,16784914440,10597707932,3838824079,2348382428
11000,11110,1111053,weekday,30027284192,20356191144,5370964118,4300128930
11000,11110,1111056,weekday,47631365370,32963396937,8889568915,5778399518
11000,11110,1111058,weekday,23556491382,16297257897,4505781658,2753451826
11000,11110,1111059,weekday,30509411936,20828726598,5901017524,3779667814
11000,11110,1111060,weekday,15558584132,9238946214,3946024251,2373613667
11000,11110,1111061,weekday,11680397270,8008222441,1867528706,1804646124
11000,11110,1111064,weekday,11292757708,7951266298,1846181700,1495309711
11000,11110,1111065,weekday,49535582939,32160521100,10175427501,7199634337
11000,11110,1111066,weekday,22813202716,14689087815,5340514739,2783600162
11000,11110,1111069,weekday,11414440878,6926712121,2855524632,1632204125
11000,11110,1111072,weekday,7468996214,5881167525,600405979,987422710
11000,11110,1111073,weekday,16900725600,9647449395,5150287469,2102988736
11000,11110,1111074,weekday,36272072413,23818552672,7592621163,4860898578
11000,11110,1111076,weekday,13801199046,9145438718,2463037962,2192722367
11000,11110,1111077,weekday,69986912389,46934411189,13915476671,9137024529
11000,11110,1111078,weekday,40242814952,25376529476,9920083104,4946202371
11000,11110,1111079,weekday,66218491190,45170347980,12569632921,8478510288
11000,11120,1112051,weekday,20459949254,13632072836,4688281741,2139594677
11000,11120,1112052,weekday,30138098955,21168431508,6083768337,2885899111
11000,11120,1112055,weekday,13058462574,7577800896,4117121014,1363540664
11000,11120,1112056,weekday,31592245085,21305539651,7101756348,3184949085
11000,11120,1112057,weekday,13950716355,9371322619,3021205793,1558187944
11000,11120,1112058,weekday,37293637404,25964462031,7425031293,3904144079
11000,11120,1112059,weekday,22410869269,14566719056,5655421867,2188728346
11000,11120,1112060,weekday,11696411305,7345140267,3187287872,1163983166
11000,11120,1112065,weekday,21378113839,14498069975,4262628910,2617414954
11000,11120,1112066,weekday,21296027162,13995669129,4778406550,2521951483
11000,11120,1112067,weekday,27203370681,17534066974,6384532566,3284771140
11000,11120,1112068,weekday,23214819749,10794116637,9899426441,2521276672
11000,11120,1112071,weekday,71968615556,44695963082,19056232007,8216420467
11000,11120,1112072,weekday,18904953646,12023726957,4909423329,1971803360
11000,11120,1112073,weekday,17803288835,11540128868,4587834011,1675325956
11000,11120,1112074,weekday,29889558177,21991835050,4687647877,3210075251
11000,11130,1113052,weekday,17524455737,9625033340,6267353732,1632068665
11000,11130,1113062,weekday,11992131423,6808293208,4216042536,967795679
11000,11130,1113064,weekday,33455295865,22871105149,6870430488,3713760228
