행정구역(시군구)별,총인구수 (명),남자인구수 (명),여자인구수 (명),sigungu_code
종로구,140032,67682,72350,11110
중구,121482,58840,62642,11140
용산구,216547,103993,112554,11170
성동구,278750,135346,143404,11200
광진구,336446,161828,174618,11215
동대문구,340333,167083,173250,11230
중랑구,383072,188091,194981,11260
성북구,428122,205537,222585,11290
강북구,290583,140828,149755,11305
도봉구,307968,149408,158560,11320
노원구,499908,240063,259845,11350
은평구,465977,221459,244518,11380
서대문구,307672,146292,161380,11410
마포구,364573,170455,194118,11440
양천구,437665,213802,223863,11470
강서구,565195,270918,294277,11500
구로구,394363,193517,200846,11530
금천구,228858,115190,113668,11545
영등포구,375526,184189,191337,11560
동작구,380478,184062,196416,11590
관악구,485994,244539,241455,11620
서초구,404616,192847,211769,11650
강남구,540730,258464,282266,11680
송파구,656176,315487,340689,11710
강동구,458400,224100,234300,11740
중구,39060,18911,20149,11140
서구,104304,50188,54116,26140
동구,88027,42912,45115,26170
영도구,107103,52650,54453,26200
부산진구,357196,171587,185609,26230
동래구,272176,131606,140570,26260
남구,255095,124362,130733,26290
북구,275670,135629,140041,26320
해운대구,382448,183307,199141,26350
사하구,299844,148785,151059,26380
금정구,217839,106365,111474,26410
강서구,142890,74082,68808,11500
연제구,202918,97076,105842,26470
수영구,175455,82379,93076,26500
사상구,203534,102171,101363,26530
기장군,179181,88728,90453,26710
중구,86210,41283,44927,11140
동구,341800,167550,174250,26170
서구,159255,79170,80085,26140
남구,140497,67105,73392,26290
북구,424831,210862,213969,26320
수성구,407190,196254,210936,27260
달서구,532496,261398,271098,27290
달성군,263055,133524,129531,27710
군위군,23130,11937,11193,27720
중구,157127,81403,75724,11140
동구,59922,30075,29847,26170
미추홀구,405633,204176,201457,28177
연수구,389310,193015,196295,28185
남동구,497181,247008,250173,28200
부평구,488696,240684,248012,28237
계양구,283422,141082,142340,28245
서구,614123,309591,304532,26140
강화군,69265,34699,34566,28710
옹진군,20473,11707,8766,28720
동구,106704,52529,54175,26170
서구,285843,139831,146012,26140
남구,210423,100819,109604,26290
북구,422881,209216,213665,26320
광산구,397959,200736,197223,29200
동구,218694,110123,108571,26170
중구,224439,110235,114204,11140
서구,467364,229348,238016,26140
유성구,363731,184227,179504,30200
대덕구,170609,86755,83854,30230
중구,205464,103868,101596,11140
남구,309139,157634,151505,26290
동구,152315,79445,72870,26170
북구,217533,112578,104955,26320
울주군,219997,113878,106119,31710
세종특별자치시,385953,192271,193682,36110
수원시,1195111,601447,593664,41111
성남시,918077,454382,463695,41131
의정부시,464778,228484,236294,41150
안양시,545092,269406,275686,41171
부천시,785432,388543,396889,41190
광명시,280414,137706,142708,41210
평택시,587611,308573,279038,41220
동두천시,89174,44450,44724,41250
안산시,634284,325067,309217,41271
고양시,1076655,525417,551238,41281
과천시,81306,39890,41416,41290
구리시,187984,92985,94999,41310
남양주시,733002,363761,369241,41360
오산시,229569,119620,109949,41370
시흥시,518182,270494,247688,41390
군포시,263496,130673,132823,41410
의왕시,157499,78097,79402,41430
하남시,329162,164021,165141,41450
용인시,1077890,534863,543027,41461
파주시,496878,251897,244981,41480
이천시,223677,116582,107095,41500
안성시,189472,98017,91455,41550
김포시,486029,242713,243316,41570
화성시,934287,485372,448915,41590
광주시,391986,199971,192015,41610
양주시,262328,132553,129775,41630
포천시,143974,76210,67764,41650
여주시,114081,58015,56066,41670
연천군,41711,21862,19849,41800
가평군,61773,31873,29900,41820
양평군,124050,62465,61585,41830
춘천시,286935,141600,145335,51110
원주시,361268,179091,182177,51130
강릉시,210122,104154,105968,51150
동해시,88951,45203,43748,51170
태백시,38752,19495,19257,51190
속초시,82326,40773,41553,51210
삼척시,63086,32028,31058,51230
홍천군,67543,34801,32742,51720
횡성군,46500,23848,22652,51730
영월군,37561,19455,18106,51750
평창군,40693,21039,19654,51760
정선군,34532,18026,16506,51770
철원군,41554,21535,20019,51780
화천군,23116,12413,10703,51790
양구군,21255,11149,10106,51800
인제군,32118,17499,14619,51810
고성군,27315,14056,13259,48820
양양군,27763,14236,13527,51830
청주시,851653,430330,421323,43111
충주시,207998,105473,102525,43130
제천시,130858,65791,65067,43150
보은군,31168,15759,15409,43720
옥천군,49164,24835,24329,43730
영동군,44436,22252,22184,43740
증평군,37407,19495,17912,43745
진천군,85754,45334,40420,43750
괴산군,36625,18865,17760,43760
음성군,91546,48674,42872,43770
단양군,27728,14119,13609,43800
당진시,169579,90500,79079,44270
천안시,657839,337078,320761,44131
공주시,102537,51161,51376,44150
보령시,96334,48793,47541,44180
아산시,339517,176946,162571,44200
서산시,176125,92085,84040,44210
논산시,111110,55512,55598,44230
계룡시,46109,23005,23104,44250
금산군,50255,25378,24877,44710
부여군,61414,30569,30845,44760
서천군,49385,24373,25012,44770
청양군,30117,15387,14730,44790
홍성군,97062,48419,48643,44800
예산군,78744,39481,39263,44810
태안군,60950,30862,30088,44825
전주시,644909,316872,328037,45111
군산시,260675,132075,128600,45130
익산시,270993,134848,136145,45140
정읍시,104088,51816,52272,45180
남원시,77135,37844,39291,45190
김제시,81711,40674,41037,45210
완주군,96887,49775,47112,45710
진안군,24601,12562,12039,45720
무주군,23370,11680,11690,45730
장수군,21084,10591,10493,45740
임실군,26140,13452,12688,45750
순창군,26760,13140,13620,45770
고창군,51836,25809,26027,45790
부안군,49626,24701,24925,45800
목포시,214580,106673,107907,46110
여수시,272503,138740,133763,46130
순천시,278807,139141,139666,46150
나주시,117142,59151,57991,46170
광양시,152007,79486,72521,46230
담양군,45474,23003,22471,46710
곡성군,26964,13391,13573,46720
구례군,24419,11908,12511,46730
고흥군,61353,29951,31402,46770
보성군,37967,18632,19335,46780
화순군,61506,30422,31084,46790
장흥군,35201,17207,17994,46800
강진군,32897,16002,16895,46810
해남군,65004,32453,32551,46820
영암군,52466,27442,25024,46830
무안군,90455,45489,44966,46840
함평군,30682,15537,15145,46860
영광군,52058,26035,26023,46870
장성군,42665,21957,20708,46880
완도군,46967,23687,23280,46890
진도군,29096,14504,14592,46900
신안군,38126,20529,17597,46910
포항시,493261,250144,243117,47111
남구,226685,117556,109129,26290
북구,266576,132588,133988,26320
경주시,248335,124334,124001,47130
김천시,138222,69396,68826,47150
안동시,153436,75792,77644,47170
구미시,406258,209432,196826,47190
영주시,100196,49659,50537,47210
영천시,100526,51241,49285,47230
상주시,94254,46391,47863,47250
문경시,69242,34051,35191,47280
경산시,267144,134370,132774,47290
의성군,50035,24736,25299,47730
청송군,24088,12091,11997,47750
영양군,15799,7867,7932,47760
영덕군,34263,16331,17932,47770
청도군,41486,20518,20968,47820
고령군,30123,15474,14649,47830
성주군,42292,22090,20202,47840
칠곡군,111258,58313,52945,47850
예천군,55574,27368,28206,47900
봉화군,29921,15232,14689,47920
울진군,46766,23595,23171,47930
울릉군,9144,5083,4061,47940
창원시,1012410,512387,500023,48121
진주시,342174,169011,173163,48170
통영시,121103,60817,60286,48220
사천시,108814,55059,53755,48240
김해시,533054,269433,263621,48250
밀양시,102341,50443,51898,48270
거제시,234467,122688,111779,48310
양산시,354877,177573,177304,48330
의령군,25672,12740,12932,48720
함안군,60572,31007,29565,48730
창녕군,57499,28727,28772,48740
고성군,49614,24999,24615,48820
남해군,41012,19973,21039,48840
하동군,41909,20993,20916,48850
산청군,33959,16843,17116,48860
함양군,37117,18013,19104,48870
거창군,60184,29607,30577,48880
합천군,41531,20239,21292,48890
제주시,492379,245974,246405,50110
서귀포시,184110,92648,91462,50130
