sido_code,sigungu_code,emd_code,week_type,ALL_VKT,PSCR_VKT,BUS_VKT,FGCR_VKT
11000,11010,1101053,weekday,262053.4,223709,11260,27083
11000,11010,1101054,weekday,65644.5,58963,1853,4828
11000,11010,1101055,weekday,158202,138148,6553,13500
11000,11010,1101056,weekday,509943.4,462249,10118,37574
11000,11010,1101057,weekday,38801.4,32522,2966,3313
11000,11010,1101058,weekday,118709.2,101513,4227,12967
11000,11010,1101060,weekday,49603.1,43160,2041,4401
11000,11010,1101061,weekday,375569.9,314873,21740,38957
11000,11010,1101063,weekday,132407.1,110124,10422,11861
11000,11010,1101064,weekday,79028.9,64249,6390,8390
11000,11010,1101067,weekday,49261.5,41783,3725,3753
11000,11010,1101069,weekday,5653.9,4457,324,873
11000,11010,1101070,weekday,56916,46730,3980,6205
11000,11010,1101071,weekday,23844.5,19430,1937,2478
11000,11010,1101072,weekday,150391.5,129376,5256,15758
11000,11010,1101073,weekday,77428.2,62868,5824,8735
11000,11020,1102052,weekday,279199,232992,16951,29255
11000,11020,1102054,weekday,226670.9,185103,19006,22562
11000,11020,1102055,weekday,253782.2,214337,12926,26520
11000,11020,1102057,weekday,178306.6,151830,11009,15466
11000,11020,1102058,weekday,130131.9,116447,3597,10088
11000,11020,1102059,weekday,199418.7,173050,8252,18117
11000,11020,1102060,weekday,117659.5,103446,3973,10240
11000,11020,1102065,weekday,54080.6,46077,2840,5162
11000,11020,1102067,weekday,36940.6,31580,1658,3703
11000,11020,1102068,weekday,68089.6,57393,3932,6764
11000,11020,1102069,weekday,85757.3,74359,3271,8126
11000,11020,1102070,weekday,22449.2,20001,819,1629
11000,11020,1102071,weekday,115657.1,100272,4295,11091
11000,11020,1102072,weekday,8070.9,7005,241,825
11000,11020,1102073,weekday,32979,28253,1422,3306
11000,11030,1103051,weekday,42137.7,36582,1802,3755
11000,11030,1103052,weekday,251549.5,221854,8989,20706
11000,11030,1103053,weekday,163422.2,132079,16603,14741
11000,11030,1103057,weekday,300908.8,267536,6009,27362
11000,11030,1103058,weekday,39720.6,33646,1958,4117
11000,11030,1103059,weekday,18521.2,15634,1050,1837
11000,11030,1103063,weekday,661275.5,592360,11299,57616
11000,11030,1103064,weekday,376673.1,339334,6306,31036
11000,11030,1103065,weekday,71839,61065,2844,7930
11000,11030,1103066,weekday,115996.1,103002,3064,9932
11000,11030,1103069,weekday,857983.1,770052,15982,71948
11000,11030,1103070,weekday,82738.4,73104,2403,7231
11000,11030,1103071,weekday,84894.1,72340,3887,8666
11000,11030,1103072,weekday,135699.7,113909,6045,15746
11000,11030,1103073,weekday,371239.1,313998,21069,36171
11000,11030,1103074,weekday,847904.6,746800,34016,67086
11000,11040,1104052,weekday,24111,20246,1190,2676
11000,11040,1104054,weekday,215138,187786,5203,22147
11000,11040,1104055,weekday,258539,229474,4999,24067
11000,11040,1104056,weekday,126794.6,105131,8301,13362
11000,11040,1104057,weekday,21024.4,17652,1358,2014
11000,11040,1104058,weekday,55551.1,45809,3603,6141
11000,11040,1104059,weekday,65454.1,56538,3242,5675
11000,11040,1104062,weekday,414618,375764,6135,32720
11000,11040,1104065,weekday,726868.1,661883,9091,55895
11000,11040,1104066,weekday,698342.4,629028,9379,59936
11000,11040,1104067,weekday,359252.6,320169,6572,32513
11000,11040,1104068,weekday,110407.1,93743,2756,13909
11000,11040,1104069,weekday,356182.1,315075,5906,35199
11000,11040,1104070,weekday,220686.7,192593,7793,20301
11000,11040,1104071,weekday,131682.2,112554,5553,13575
11000,11040,1104072,weekday,43878.7,38151,1716,4011
11000,11040,1104073,weekday,553584.1,502284,9020,42281
11000,11050,1105053,weekday,158852.2,137923,6714,14216
11000,11050,1105054,weekday,149175.6,129030,5807,14339
11000,11050,1105055,weekday,254571.6,223678,7934,22959
11000,11050,1105056,weekday,115063.6,97727,6052,11284
11000,11050,1105057,weekday,48385.8,42709,1601,4075
11000,11050,1105058,weekday,82417,69744,4314,8360
11000,11050,1105059,weekday,76394.3,66579,2545,7270
11000,11050,1105060,weekday,70958.2,59578,4318,7062
11000,11050,1105061,weekday,143074.1,122828,5902,14346
11000,11050,1105062,weekday,356098.3,303669,21049,31382
11000,11050,1105063,weekday,692761.3,592463,32233,68067
11000,11050,1105064,weekday,63907.3,52935,4095,6877
11000,11050,1105065,weekday,504444.3,443894,16316,44231
11000,11050,1105066,weekday,195245.5,173261,3478,18507
11000,11050,1105067,weekday,365229.1,325143,6825,33261
11000,11060,1106071,weekday,52413.8,43520,3799,5094
11000,11060,1106072,weekday,103417.7,86015,7403,10000
11000,11060,1106073,weekday,142963.1,122990,6934,13038
11000,11060,1106080,weekday,129297.9,109022,8179,12098
11000,11060,1106081,weekday,414089,356736,18305,39048
11000,11060,1106082,weekday,218975.7,180115,15612,23249
11000,11060,1106083,weekday,154316.2,124331,14569,15414
11000,11060,1106084,weekday,60849.1,50575,3858,6416
11000,11060,1106086,weekday,79896.2,66867,4829,8199
11000,11060,1106087,weekday,317378.4,276665,11193,29520
11000,11060,1106088,weekday,177027.5,152175,7986,16869
