sido_code,sigungu_code,emd_code,week_type,ALL_AADT,PSCR_AADT,BUS_AADT,FGCR_AADT
11000,11010,1101053,weekday,13404,11442,576,1385
11000,11010,1101054,weekday,8751,7861,247,644
11000,11010,1101055,weekday,9707,8477,402,828
11000,11010,1101056,weekday,19229,17431,382,1417
11000,11010,1101057,weekday,20422,17117,1561,1744
11000,11010,1101058,weekday,13587,11619,484,1484
11000,11010,1101060,weekday,8204,7139,338,728
11000,11010,1101061,weekday,13972,11714,809,1449
11000,11010,1101063,weekday,15288,12715,1203,1369
11000,11010,1101064,weekday,14232,11570,1151,1511
11000,11010,1101067,weekday,21043,17848,1591,1603
11000,11010,1101069,weekday,3873,3053,222,598
11000,11010,1101070,weekday,17496,14365,1223,1908
11000,11010,1101071,weekday,11447,9328,930,1189
11000,11010,1101072,weekday,9082,7813,317,952
11000,11010,1101073,weekday,8867,7200,667,1000
11000,11020,1102052,weekday,14128,11790,858,1480
11000,11020,1102054,weekday,15442,12610,1295,1537
11000,11020,1102055,weekday,14691,12407,748,1535
11000,11020,1102057,weekday,14612,12442,902,1267
11000,11020,1102058,weekday,17335,15512,479,1344
11000,11020,1102059,weekday,14111,12245,584,1282
11000,11020,1102060,weekday,13875,12199,469,1208
11000,11020,1102065,weekday,14981,12764,787,1430
11000,11020,1102067,weekday,8874,7586,398,890
11000,11020,1102068,weekday,10954,9233,633,1088
11000,11020,1102069,weekday,9688,8400,370,918
11000,11020,1102070,weekday,31619,28170,1154,2295
11000,11020,1102071,weekday,13323,11551,495,1278
11000,11020,1102072,weekday,7324,6357,219,748
11000,11020,1102073,weekday,8870,7599,382,889
11000,11030,1103051,weekday,7328,6362,313,653
11000,11030,1103052,weekday,18087,15952,646,1489
11000,11030,1103053,weekday,17941,14500,1823,1618
11000,11030,1103057,weekday,23452,20851,468,2132
11000,11030,1103058,weekday,9688,8206,478,1004
11000,11030,1103059,weekday,7344,6199,416,729
11000,11030,1103063,weekday,26035,23322,445,2268
11000,11030,1103064,weekday,36752,33109,615,3028
11000,11030,1103065,weekday,8727,7418,345,963
11000,11030,1103066,weekday,12151,10790,321,1040
11000,11030,1103069,weekday,26023,23356,485,2182
11000,11030,1103070,weekday,14518,12828,422,1269
11000,11030,1103071,weekday,9841,8385,451,1005
11000,11030,1103072,weekday,11534,9682,514,1338
11000,11030,1103073,weekday,14283,12081,811,1392
11000,11030,1103074,weekday,24615,21680,988,1948
11000,11040,1104052,weekday,4563,3832,225,506
11000,11040,1104054,weekday,16131,14080,390,1661
